代码,名称,现价,跌幅,均线粘合度,评分,操作建议,回测历史胜率参考
000860,顺鑫农业,14.75,81.27%,0.58%,100,极度强烈建议：全仓伏击/加仓,高(超跌+激活)
002022,科华生物,6.22,90.05%,4.33%,85,极度强烈建议：全仓伏击/加仓,高(超跌+激活)
603959,百利科技,6.41,73.46%,0.43%,80,极度强烈建议：全仓伏击/加仓,高(超跌+激活)
600997,开滦股份,6.23,75.92%,2.21%,65,强烈建议：试错买入,高(超跌+激活)
600655,豫园股份,5.22,77.38%,4.26%,65,强烈建议：试错买入,高(超跌+激活)
000856,冀东装备,11.04,75.9%,4.4%,65,强烈建议：试错买入,高(超跌+激活)
601600,中国铝业,12.89,78.46%,4.84%,65,强烈建议：试错买入,高(超跌+激活)
002646,天佑德酒,9.07,79.1%,3.09%,65,强烈建议：试错买入,高(超跌+激活)
002724,海洋王,7.47,71.65%,3.85%,65,强烈建议：试错买入,高(超跌+激活)
600115,中国东航,6.3,73.52%,3.75%,65,强烈建议：试错买入,高(超跌+激活)
002355,兴民智通,7.23,71.28%,4.18%,65,强烈建议：试错买入,高(超跌+激活)
600072,中船科技,12.71,73.57%,4.56%,65,强烈建议：试错买入,高(超跌+激活)
